駕 멍에 가-
雰 눈날릴 분
盆 동이 분
焚 불사를 분
吩 분부할 분:
噴 뿜을 분
忿 성낼 분:
糞 똥 분
彿 비슷할 불
棚 사다리 붕
硼 붕사 붕
繃 묶을 붕
誹 헐뜯을 비
砒 비상 비:
妣 죽은어미 비
鄙 더러울 비:
譬 비유할 비:
裨 도울 비
臂 팔 비:
脾 지라 비-
翡 물총새 비:
扉 사립문 비
秕 쭉정이 비
痺 저릴 비
琵 비파 비
沸 끓을 비 / 용솟음할 불-
憊 고단할 비:
匕 비수 비:
蜚 바퀴/날 비
庇 덮을 비:
緋 비단 비:
殯 빈소 빈
濱 물가 빈
嬪 궁녀벼슬이름 빈
嚬 찡그릴 빈
瀕 물가/가까울 빈
憑 기댈 빙
些 적을 사
麝 사향노루 사:
祠 사당 사
紗 비단 사
嗣 이을 사:
奢 사치할 사
娑 춤출 / 사바세상 사
徙 옮길 사:
瀉 쏟을 사-
獅 사자 사-
蓑 도롱이 사
疝 산증 산
珊 산호 산
刪 깎을 산
撒 뿌릴 살
煞 죽일 살
薩 보살 살
滲 스밀 삼
澁 떫을 삽
爽 시원할 상:
翔 날 상
觴 잔 상
孀 홀어미 상
璽 옥새 새
嗇 아낄 색
牲 희생 생
甥 생질 생
抒 풀 서:
棲 깃들일 서:
犀 무소 서:
胥 서로 서
薯 감자 서:
黍 기장 서:
嶼 섬 서
曙 새벽 서:
鼠 쥐 서:
壻 사위 서:
潟 개펄 석
煽 부채질할 선
銑 무쇠 선
膳 선물/반찬 선:
羨 부러워할 선, 무덤길 연:
扇 부채 선
腺 샘 선
屑 가루 설
泄 샐 설
洩 샐 설, 퍼질 예
渫 파낼 설
閃 번쩍일 섬
殲 다죽일 섬
醒 깰 성
簫 퉁소 소
塑 흙빚을 소
遡 거스를 소
逍 노닐 소
蕭 쓸쓸할 소
瘙 피부병 소
疎 성길 소
甦 깨어날 소
梳 얼레빗 소
宵 밤 소
搔 긁을 소
贖 속죄할 속
遜 겸손할 손:
悚 두려울 송:
碎 부술 쇄:
灑 뿌릴 쇄:
蒐 모을 수
嫂 형수 수
戍 수자리 수
髓 뼛골 수
酬 갚을 수
袖 소매 수
羞 부끄러울 수
狩 사냥할 수
繡 수놓을 수:
粹 순수할 수
竪 세울 수
穗 이삭 수
瘦 여윌 수
讎 원수 수
夙 이를 숙
菽 콩 숙
塾 글방 숙
醇 전국술 순
筍 죽순 순
馴 길들일 순
膝 무릎 슬
丞 정승 승
柿 감 시:
匙 숟가락 시:
媤 시집 시
弑 윗사람죽일 시:
猜 시기할 시
諡 시호 시:
豺 승냥이 시:
熄 불꺼질 식
蝕 좀먹을 식
拭 씻을 식
薪 섶 신
迅 빠를 신
蜃 큰조개 신
燼 불탄끝 신:
宸 대궐 신
娠 아이밸 신
呻 읊조릴 신
訊 물을 신: 
悉 다 실
什 열사람 십, 세간 집
訝 의심할 아
衙 마을 아
啞 벙어리 아-
俄 아까 아
堊 흰흙 악
愕 놀랄 악
顎 턱 악
