Hanja	Reading(s)	Meaning(s)	Grade
量	량(양)	헤아릴	5
領	령(영)	거느릴	5
令	령(영)	하여금	5
料	료(요)	헤아릴	5
馬	마	말	5
末	말	끝	5
亡	망, 무	망할, 없을	5
賣	매	팔	5
買	매	살	5
無	무	없을	5
倍	배, 패	곱, 등질	5
鼻	비	코	5
費	비	쓸	5
比	비	견줄	5
氷	빙, 응	얼음, 엉길	5
査	사	조사할	5
思	사, 새	생각, 수염이 많을	5
寫	사	베낄	5
賞	상	상줄	5
序	서	차례	5
選	선	가릴	5
船	선	배	5
善	선	착할	5
示	시, 기, 치	보일, 땅 귀신, 둘	5
案	안	책상	5
魚	어	물고기	5
漁	어	고기 잡을	5
億	억	억	5
熱	열	더울	5
葉	엽, 섭, 접	잎, 땅 이름, 책	5
屋	옥, 악	집, 휘장	5
完	완	완전할	5
曜	요	빛날	5
浴	욕	목욕할	5
牛	우	소	5
雄	웅	수컷	5
願	원	원할	5
院	원	집	5
原	원, 원	언덕, 근원	5
位	위, 리(이)	자리, 임할	5
耳	이, 잉	귀, 팔대째 손자	5
因	인	인할	5
災	재	재앙	5
再	재	두	5
爭	쟁	다툴	5
貯	저	쌓을	5
赤	적	붉을	5
停	정	머무를	5
操	조	잡을	5
終	종	마칠	5
罪	죄	허물	5
止	지	그칠	5
唱	창	부를	5
鐵	철	쇠	5
初	초	처음	5
最	최	가장	5
祝	축, 주	빌, 저주할	5
致	치, 치	이를, 빽빽할	5
則	칙, 즉	법칙, 곧	5
打	타	칠	5
他	타	다를	5
卓	탁	높을	5
炭	탄	숯	5
板	판	널빤지	5
敗	패	패할	5
河	하	물	5
寒	한	찰	5
許	허, 호	허락할, 이영차	5
湖	호	호수	5
患	환	근심	5
黑	흑	검을	5
街	가	거리	4
假	가, 하, 격	거짓, 멀, 이를	4
監	감	볼	4
減	감	덜	4
講	강, 구	외울, 얽을	4
康	강	편안	4
個	개	낱	4
檢	검	검사할	4
缺	결, 규	이지러질, 머리띠	4
潔	결	깨끗할	4
警	경, 경	깨우칠, 경계할	4
經	경, 경	지날, 글	4
慶	경, 강	경사, 발어사	4
境	경	지경	4
係	계	맬	4
故	고	연고	4
官	관	벼슬	4
究	구	연구할	4
求	구	구할	4
句	구, 구, 귀	글귀, 올가미, 글귀	4
宮	궁	집	4
權	권	권세	4
極	극, 극	극진할, 다할	4
禁	금	금할	4
起	기	일어날	4
器	기	그릇	4
難	난, 나	어려울, 우거질	4
暖	난, 훤	따뜻할, 부드러울	4
努	노	힘쓸	4
端	단, 천, 전	끝, 헐떡일, 홀	4
檀	단	박달나무	4
斷	단	끊을	4
單	단, 선	홑, 오랑캐 이름	4
達	달	통달할	4
擔	담	멜	4
黨	당	무리	4
隊	대, 추, 수	무리, 떨어질, 길	4
帶	대	띠	4
導	도	인도할	4
督	독	감독할	4
毒	독, 대	독, 거북	4
銅	동	구리	4
豆	두	콩	4
斗	두, 두, 투, 각	말, 싸울, 싸울, 싸울	4
得	득	얻을	4
燈	등	등	4
羅	라(나), 라(나)	벌일, 그물	4
兩	량(양), 냥(양)	두, 냥	4
麗	려(여)	고울	4
連	련(연)	잇닿을	4
列	렬(열)	벌일	4
錄	록(녹), 려(여)	기록할, 사실할	4
論	론(논), 륜(윤)	논할, 조리	4
留	류(유)	머무를	4
律	률(율)	법칙	4
滿	만	찰	4
脈	맥	줄기	4
毛	모	터럭	4
牧	목	칠	4
武	무	호반	4
務	무, 모	힘쓸, 업신여길	4
未	미	아닐	4
味	미, 매	맛, 광택	4
密	밀	빽빽할	4
博	박	넓을	4
防	방	막을	4
訪	방	찾을	4
房	방	방	4
配	배, 배	나눌, 짝	4
背	배, 배	등, 배반할	4
拜	배, 배	절, 뺄	4
罰	벌	벌할	4
伐	벌	칠	4
壁	벽	벽	4
邊	변	가	4
步	보	걸음	4
寶	보	보배	4
報	보, 보	갚을, 알릴	4
保	보	지킬	4
復	복, 부	회복할, 다시	4
府	부	마을	4
富	부	부유할	4
婦	부	며느리	4
副	부, 복, 핍	버금, 쪼갤, 쪼갤	4
佛	불, 발, 필	부처, 일어날, 도울	4
飛	비	날	4
非	비, 비	아닐, 비방할	4
悲	비	슬플	4
備	비	갖출	4
貧	빈	가난할	4
謝	사	사례할	4
舍	사, 사, 석	집, 버릴, 벌여놓을	4
師	사	스승	4
寺	사, 시	절, 관청	4
殺	살, 살, 쇄, 설, 시	죽일, 감할, 빠를, 맴 도는 모양, 윗사람 죽일	4
狀	상, 장	형상, 문서	4
想	상	생각	4
床	상	평상	4
常	상, 상	떳떳할, 항상	4
設	설	베풀	4
誠	성	정성	4
聲	성	소리	4
聖	성	성인	4
盛	성	성할	4
星	성	별	4
城	성	재	4
細	세	가늘	4
稅	세, 탈, 열, 수, 태	세금, 벗을, 기뻐할, 수의, 추복 입을	4
勢	세	형세	4
素	소, 소	본디, 흴	4
笑	소	웃음	4
掃	소	쓸	4
續	속	이을	4
俗	속	풍속	4
送	송	보낼	4
收	수	거둘	4
授	수	줄	4
守	수	지킬	4
受	수	받을	4
修	수	닦을	4
純	순, 준, 돈, 전, 치	순수할, 가선, 묶을, 온전할, 검은 비단	4
承	승, 증	이을, 구원할	4
詩	시	시	4
試	시	시험	4
視	시	볼	4
是	시, 시	이, 옳을	4
施	시, 이	베풀, 옮길	4
息	식	쉴	4
申	신, 신	거듭, 아홉째 지지	4
深	심	깊을	4
眼	안, 은	눈, 눈 불거질	4
暗	암	어두울	4
壓	압, 염, 엽, 녑(엽)	누를, 싫어할, 숙일, 누를	4
液	액, 석	진, 담글	4
羊	양	양	4
如	여, 이	같을, 말 이을	4
餘	여	남을	4
逆	역	거스릴	4
硏	연, 연, 형	갈, 벼루, 관 이름	4
煙	연, 인	연기, 제사 지낼	4
演	연	펼	4
榮	영, 영	영화, 꽃	4
藝	예, 예	재주, 심을	4
誤	오	그르칠	4
玉	옥	구슬	4
往	왕	갈	4
謠	요	노래	4
容	용	얼굴	4
圓	원, 엔	둥글, 화폐 단위	4
員	원, 운	인원, 더할	4
爲	위, 위	하, 할	4
衛	위	지킬	4
肉	육, 유	고기, 둘레	4
恩	은	은혜	4
陰	음, 암	그늘, 침묵할	4
應	응	응할	4
議	의	의논할	4
義	의	옳을	4
移	이, 치	옮길, 크게 할	4
益	익, 일	더할, 넘칠	4
認	인, 잉	알, 적을	4
引	인	끌	4
印	인	도장	4
障	장	막을	4
將	장, 장	장수, 장차	4
低	저	낮을	4
敵	적, 활	대적할, 다할	4
田	전	밭	4
絶	절	끊을	4
接	접	이을	4
政	정, 정	정사, 칠	4
精	정	정할	4
程	정, 정	한도, 길	4
製	제	지을	4
祭	제, 채	제사, 나라 이름	4
濟	제	건널	4
提	제, 시	끌, 떼지어 날	4
制	제	절제할	4
際	제, 제	즈음, 가	4
除	제, 여	덜, 음력 사월	4
鳥	조, 작, 도	새, 땅 이름, 섬	4
造	조	지을	4
早	조	이를	4
助	조, 서	도울, 없앨	4
尊	존, 준	높을, 술그릇	4
宗	종	마루	4
走	주	달릴	4
竹	죽	대	4
準	준, 절	준할, 콧마루	4
衆	중	무리	4
增	증, 층	더할, 겹칠	4
至	지, 질	이를, 덜렁대는 모양	4
支	지	지탱할	4
指	지	가리킬	4
志	지, 치	뜻, 기치	4
職	직	직분	4
進	진, 신	나아갈, 선사	4
眞	진	참	4
次	차, 차	버금, 머뭇거릴	4
察	찰	살필	4
創	창, 창	비롯할, 다칠	4
處	처	곳	4
請	청	청할	4
銃	총	총	4
總	총, 총	다, 합할	4
蓄	축, 휵	모을, 겨울 푸성귀	4
築	축, 축	쌓을, 악기 이름	4
蟲	충, 훼, 동	벌레, 벌레, 찔	4
忠	충	충성	4
取	취	가질	4
測	측	헤아릴	4
齒	치	이	4
置	치	둘	4
治	치, 이	다스릴, 강 이름	4
侵	침	침노할	4
快	쾌	쾌할	4
態	태	모습	4
統	통	거느릴	4
退	퇴	물러날	4
破	파, 피	깨뜨릴, 무너질	4
波	파, 피	물결, 방죽	4
砲	포	대포	4
布	포, 포, 보	베, 펼, 보시	4
包	포, 포	쌀, 꾸러미	4
暴	폭, 폭, 포, 박	사나울, 쬘, 사나울, 앙상할	4
票	표	표	4
豊	풍, 풍, 례(예), 례(예)	풍년, 부들, 예도, 굽 높은 그릇	4
限	한, 은	한할, 심할	4
航	항	배	4
港	항, 홍	항구, 통할	4
解	해	풀	4
香	향	향기	4
鄕	향	시골	4
虛	허	빌	4
驗	험	시험	4
賢	현	어질	4
血	혈	피	4
協	협	화합할	4
惠	혜	은혜	4
護	호	도울	4
戶	호, 호	집, 지게	4
好	호	좋을	4
呼	호	부를	4
貨	화	재물	4
確	확	굳을	4
回	회	돌아올	4
吸	흡	마실	4
興	흥, 흔	일, 피 바를	4
希	희, 치	바랄, 칡베	4
暇	가, 가	틈, 겨를	4
覺	각, 교	깨달을, 깰	4
刻	각	새길	4
簡	간, 간	대쪽, 간략할	4
看	간	볼	4
干	간, 간, 건, 안, 한	방패, 줄기, 마를, 들개, 일꾼	4
甘	감	달	4
敢	감, 감	감히, 구태여	4
甲	갑, 압	갑옷, 친압할	4
降	강, 항	내릴, 항복할	4
據	거	근거	4
拒	거, 구	막을, 방진	4
巨	거, 거	클, 어찌	4
居	거, 기	살, 어조사	4
傑	걸	뛰어날	4
儉	검	검소할	4
激	격	격할	4
擊	격	칠	4
犬	견	개	4
堅	견	굳을	4
驚	경	놀랄	4
鏡	경	거울	4
傾	경	기울	4
鷄	계	닭	4
階	계	섬돌	4
繼	계	이을	4
系	계	맬	4
戒	계	경계할	4
季	계	계절	4
庫	고, 사	곳집, 성씨	4
孤	고	외로울	4
穀	곡, 누	곡식, 어린아이	4
困	곤	곤할	4
骨	골	뼈	4
攻	공	칠	4
孔	공	구멍	4
管	관, 관	대롱, 주관할	4
鑛	광	쇳돌	4
構	구, 구	얽을, 닥나무	4
群	군	무리	4
君	군	임금	4
屈	굴, 궐	굽힐, 옷 이름	4
窮	궁, 궁	다할, 궁할	4
卷	권, 권, 곤	책, 말, 곤룡포	4
勸	권	권할	4
券	권	문서	4
歸	귀	돌아갈	4
均	균, 운, 연	고를, 운, 따를	4
劇	극	심할	4
筋	근	힘줄	4
勤	근, 근	부지런할, 근심할	4
紀	기	벼리	4
機	기	틀	4
寄	기	부칠	4
奇	기, 의	기특할, 의지할	4
納	납	들일	4
段	단	층계	4
逃	도	도망할	4
盜	도	도둑	4
徒	도	무리	4
卵	란(난)	알	4
亂	란(난)	어지러울	4
覽	람(남)	볼	4
略	략(약), 략(약)	간략할, 다스릴	4
糧	량(양)	양식	4
慮	려(여), 록(녹)	생각할, 사실할	4
烈	렬(열), 렬(열)	매울, 세찰	4
龍	룡(용), 롱(농), 망, 총	용, 언덕, 얼룩, 은총	4
柳	류(유)	버들	4
輪	륜(윤)	바퀴	4
離	리(이), 려(여), 치	떠날, 붙을, 교룡	4
妹	매	누이	4
勉	면	힘쓸	4
鳴	명	울	4
模	모, 모	본뜰, 모호할	4
妙	묘	묘할	4
墓	묘	무덤	4
舞	무	춤 출	4
拍	박, 박	칠, 어깨	4
髮	발	터럭	4
妨	방	방해할	4
範	범	법	4
犯	범	범할	4
辯	변, 편	말씀, 두루 미칠	4
普	보	넓을	4
複	복, 부	겹칠, 겹칠	4
伏	복, 부	엎드릴, 안을	4
負	부	질	4
否	부, 비	아닐, 막힐	4
粉	분	가루	4
憤	분	분할	4
祕	비, 필	숨길, 심오할	4
碑	비	비석	4
批	비, 별	비평할, 거스를	4
辭	사	말씀	4
絲	사, 멱	실, 가는 실	4
私	사	사사	4
射	사, 야, 석, 역	쏠, 벼슬 이름, 맞힐, 싫어할	4
散	산	흩을	4
象	상	코끼리	4
傷	상	다칠	4
宣	선	베풀	4
舌	설	혀	4
屬	속, 촉	무리, 이을	4
損	손	덜	4
頌	송, 송, 용	칭송할, 기릴, 얼굴	4
松	송, 송, 종	소나무, 더벅머리, 따를	4
秀	수	빼어날	4
肅	숙	엄숙할	4
叔	숙, 숙	아저씨, 콩	4
崇	숭	높을	4
氏	씨, 씨, 지	각시, 성씨, 나라 이름	4
額	액	이마	4
樣	양, 상	모양, 상수리나무	4
嚴	엄	엄할	4
與	여, 여	더불, 줄	4
易	역, 이	바꿀, 쉬울	4
域	역	지경	4
鉛	연	납	4
緣	연, 단	인연, 부인 옷 이름	4
燃	연	탈	4
延	연	늘일	4
映	영, 앙	비칠, 희미할	4
迎	영	맞을	4
營	영	경영할	4
豫	예, 서	미리, 펼	4
郵	우	우편	4
遇	우	만날	4
優	우, 우	넉넉할, 뛰어날	4
源	원	근원	4
援	원	도울	4
怨	원, 온	원망할, 쌓을	4
慰	위	위로할	4
威	위	위엄	4
委	위	맡길	4
圍	위, 국	에워쌀, 나라	4
危	위	위태할	4
遺	유, 수	남길, 따를	4
遊	유	놀	4
儒	유	선비	4
乳	유	젖	4
隱	은	숨을	4
疑	의, 응	의심할, 안정할	4
儀	의	거동	4
依	의	의지할	4
異	이(리)	다를	4
仁	인	어질	4
資	자	재물	4
姿	자	모양	4
姉	자	손위 누이	4
殘	잔, 잔	잔인할, 남을	4
雜	잡	섞일	4
獎	장	권면할	4
裝	장	꾸밀	4
腸	장	창자	4
張	장	베풀	4
帳	장	장막	4
壯	장	장할	4
底	저, 지	밑, 이룰	4
適	적	맞을	4
賊	적	도둑	4
績	적	길쌈할	4
籍	적, 자	문서, 온화할	4
積	적, 자	쌓을, 저축	4
錢	전	돈	4
轉	전	구를	4
專	전, 단	오로지, 모일	4
折	절, 제	꺾을, 천천히 할	4
點	점, 다	점, 시들	4
占	점, 점	점령할, 점칠	4
整	정	가지런할	4
丁	정, 정	고무래, 장정	4
靜	정	고요할	4
帝	제	임금	4
組	조	짤	4
潮	조, 조	밀물, 조수	4
條	조	가지	4
存	존	있을	4
鍾	종, 종	쇠북, 술병	4
從	종	좇을	4
座	좌	자리	4
酒	주	술	4
朱	주	붉을	4
周	주	두루	4
證	증	증거	4
誌	지	기록할	4
智	지, 지	슬기, 지혜	4
持	지	가질	4
織	직, 치	짤, 기치	4
陣	진	진 칠	4
盡	진	다할	4
珍	진	보배	4
差	차, 치, 채	다를, 차별, 버금	4
讚	찬	기릴	4
採	채, 채	캘, 풍채	4
冊	책	책	4
泉	천	샘	4
聽	청	들을	4
廳	청	관청	4
招	초, 교, 소	부를, 지적할, 풍류 이름	4
推	추, 퇴	밀, 밀	4
縮	축	줄일	4
趣	취, 촉, 추	뜻, 재촉할, 벼슬 이름	4
就	취, 여	나아갈, 관대할	4
層	층	층	4
針	침	바늘	4
寢	침	잘	4
稱	칭, 칭	일컬을, 저울	4
歎	탄	탄식할	4
彈	탄	탄알	4
脫	탈, 태	벗을, 기뻐할	4
探	탐	찾을	4
擇	택, 역	가릴, 사람 이름	4
討	토	칠	4
痛	통	아플	4
鬪	투, 투	싸울, 싸움	4
投	투, 두	던질, 머무를	4
派	파	갈래	4
判	판	판단할	4
篇	편	책	4
評	평	평할	4
閉	폐	닫을	4
胞	포, 포	세포, 여드름	4
爆	폭, 박	불 터질, 지질	4
標	표	표할	4
避	피	피할	4
疲	피	피곤할	4
閑	한	한가할	4
恨	한	한	4
抗	항, 강	겨룰, 큰길	4
核	핵, 해	씨, 풀뿌리	4
憲	헌	법	4
險	험, 삼, 암	험할, 괴로워할, 낭떠러지	4
革	혁, 극	가죽, 중해질	4
顯	현	나타날	4
刑	형, 형	형벌, 탕기	4
或	혹, 역	혹, 나라	4
混	혼, 곤	섞을, 오랑캐	4
婚	혼	혼인할	4
紅	홍, 공	붉을, 상복	4
華	화	빛날	4
環	환	고리	4
歡	환	기쁠	4
況	황, 황	상황, 하물며	4
灰	회	재	4
厚	후	두터울	4
候	후	기후	4
揮	휘, 휘, 혼	휘두를, 표기, 휘두를	4
喜	희	기쁠	4
架	가	시렁	3
佳	가	아름다울	3
閣	각	집	3
脚	각	다리	3
肝	간	간	3
懇	간	간절할	3
幹	간, 관, 한	줄기, 주관할, 우물 난간	3
刊	간	새길	3
鑑	감	거울	3
鋼	강	강철	3
綱	강	벼리	3
剛	강	굳셀	3
蓋	개, 합	덮을, 어찌	3
槪	개	대개	3
介	개, 개	낄, 낱	3
