Hanja	Reading(s)	Meaning(s)	Grade
苑	원, 울	나라 동산, 막힐	2
尉	위, 위, 울	벼슬, 위로할, 다리미	2
融	융	녹을	2
貳	이, 이	두, 갖은두	2
刃	인	칼날	2
壹	일, 일, 인	한, 갖은한, 혼돈	2
妊	임	아이 밸	2
雌	자	암컷	2
諮	자	물을	2
磁	자	자석	2
蠶	잠, 천	누에, 지렁이	2
沮	저	막을	2
呈	정, 정	드릴, 한도	2
偵	정	염탐할	2
艇	정	배	2
劑	제, 자	약제, 엄쪽	2
釣	조, 조	낚을, 낚시	2
措	조, 착, 책, 척	둘, 섞을, 잡을, 찌를	2
彫	조	새길	2
綜	종	모을	2
駐	주	머무를	2
准	준, 절	준할, 콧마루	2
脂	지	기름	2
旨	지	뜻	2
診	진	진찰할	2
津	진	나루	2
塵	진	티끌	2
窒	질	막힐	2
輯	집	모을	2
遮	차, 저	가릴, 이	2
餐	찬, 손	밥, 물말이할	2
札	찰, 찰	편지, 뽑을	2
刹	찰	절	2
斬	참	벨	2
滄	창	큰 바다	2
彰	창	드러날	2
悽	처, 서	슬퍼할, 바쁠	2
隻	척	외짝	2
撤	철	거둘	2
諜	첩, 섭	염탐할, 말 잇닿을	2
締	체	맺을	2
焦	초	탈	2
哨	초	망볼	2
趨	추, 촉	달아날, 재촉할	2
軸	축	굴대	2
蹴	축	찰	2
衷	충	속마음	2
炊	취	불 땔	2
託	탁	부탁할	2
琢	탁	다듬을	2
颱	태	태풍	2
胎	태	아이 밸	2
霸	패, 패	으뜸, 두목	2
坪	평	들	2
鋪	포, 포	펼, 가게	2
抛	포	던질	2
怖	포	두려워할	2
虐	학	모질	2
翰	한	편지	2
艦	함	큰 배	2
弦	현	시위	2
峽	협	골짜기	2
型	형	모형	2
濠	호	호주	2
酷	혹	심할	2
靴	화	신	2
幻	환, 환	헛보일, 변할	2
滑	활, 골	미끄러울, 익살스러울	2
廻	회	돌	2
喉	후	목구멍	2
勳	훈	공	2
熙	희, 이	빛날, 사람 이름	2
姬	희, 이, 거	여자, 왕후, 앉을	2
噫	희, 애, 억	한숨 쉴, 트림할, 탄식할	2
駕	가	멍에	1
袈	가	가사	1
苛	가	가혹할	1
稼	가	심을	1
嫁	가	시집갈	1
嘉	가	아름다울	1
哥	가	성씨	1
呵	가, 하, 아	꾸짖을, 꾸짖을, 어조사	1
殼	각, 각	껍질, 내려칠	1
恪	각	삼갈	1
諫	간	간할	1
艱	간	어려울	1
竿	간	낚싯대	1
癎	간	간질	1
澗	간	산골 물	1
揀	간	가릴	1
奸	간	간사할	1
墾	간	개간할	1
褐	갈, 갈	갈색, 굵은 베	1
竭	갈, 걸	다할, 다할	1
喝	갈, 애	꾸짖을, 목이 멜	1
紺	감, 감	감색, 연보라	1
瞰	감	굽어볼	1
疳	감	감질	1
柑	감, 겸	귤, 재갈 물릴	1
堪	감	견딜	1
勘	감	헤아릴	1
閘	갑, 압	수문, 문 여닫을	1
匣	갑	갑	1
薑	강	생강	1
腔	강, 공	속 빌, 양고기 포	1
糠	강	겨	1
慷	강	슬플	1
芥	개, 갈	겨자, 작은 풀	1
箇	개	낱	1
漑	개, 기	물 댈, 이미	1
愾	개, 희, 흘	성낼, 한숨 쉴, 이를	1
凱	개	개선할	1
羹	갱, 랑(낭)	국, 땅 이름	1
醵	갹, 거	추렴할, 추렴할	1
渠	거	개천	1
倨	거	거만할	1
虔	건	공경할	1
腱	건, 근	힘줄, 힘줄	1
巾	건	수건	1
怯	겁	겁낼	1
劫	겁	위협할	1
偈	게, 걸	쉴, 굳셀	1
覡	격	박수	1
膈	격	가슴	1
檄	격, 혁	격문, 나무 조각으로 된 집	1
鵑	견	두견이	1
譴	견	꾸짖을	1
繭	견	고치	1
鯨	경	고래	1
頸	경	목	1
莖	경	줄기	1
脛	경	정강이	1
磬	경	경쇠	1
痙	경	경련	1
梗	경, 경	줄기, 막힐	1
憬	경, 경	깨달을, 동경할	1
勁	경	굳셀	1
悸	계	두근거릴	1
錮	고	막을	1
辜	고	허물	1
袴	고, 과	바지, 사타구니	1
膏	고	기름	1
股	고	넓적다리	1
痼	고	고질	1
敲	고, 교, 학	두드릴, 두드릴, 두드릴	1
拷	고	칠	1
呱	고	울	1
叩	고	두드릴	1
鵠	곡, 곡, 호, 학	고니, 과녁, 클, 학	1
梏	곡, 각	수갑, 클	1
袞	곤	곤룡포	1
棍	곤, 혼	몽둥이, 묶을	1
昆	곤, 곤, 혼	맏, 벌레, 뒤섞일	1
汨	골, 멱	골몰할, 물 이름	1
鞏	공	굳을	1
拱	공, 공	팔짱 낄, 보옥	1
顆	과	낟알	1
藿	곽, 곽, 수	콩잎, 미역, 낙화 깔릴	1
槨	곽	외관	1
廓	곽, 확	둘레, 클	1
灌	관	물 댈	1
棺	관	널	1
顴	관, 권	광대뼈, 광대뼈	1
括	괄	묶을	1
刮	괄, 괄	긁을, 모진 바람	1
胱	광	오줌통	1
曠	광, 광	빌, 밝을	1
壙	광	뫼 구덩이	1
匡	광, 왕	바를, 앉은뱅이	1
罫	괘, 홰	줄, 거리낄	1
卦	괘	점괘	1
魁	괴	괴수	1
拐	괴	후릴	1
乖	괴	어그러질	1
轟	굉, 굉	울릴, 수레 소리	1
肱	굉	팔뚝	1
宏	굉	클	1
驕	교	교만할	1
轎	교	가마	1
蛟	교	교룡	1
皎	교	달 밝을	1
狡	교	교활할	1
攪	교	흔들	1
嬌	교	아리따울	1
喬	교	높을	1
咬	교, 교, 요	물, 새소리, 난잡한 소리	1
鳩	구	비둘기	1
駒	구	망아지	1
鉤	구	갈고리	1
軀	구	몸	1
謳	구, 후	노래, 따뜻해질	1
衢	구, 구	네거리, 갈	1
舅	구, 구	시아버지, 외삼촌	1
臼	구	절구	1
矩	구, 구	모날, 법도	1
灸	구	뜸	1
溝	구	도랑	1
毆	구	때릴	1
柩	구	널	1
枸	구	구기자	1
嶇	구	험할	1
寇	구	도적	1
垢	구	때	1
嘔	구, 후	게울, 기뻐할	1
仇	구	원수	1
廏	구	마구간	1
窘	군	군색할	1
躬	궁	몸	1
穹	궁	하늘	1
眷	권	돌볼	1
捲	권, 권	거둘, 말	1
倦	권, 권	게으를, 문서	1
蹶	궐, 궐, 궤	넘어질, 일어설, 뛰어 일어날	1
詭	궤	속일	1
潰	궤, 해	무너질, 바다 기운	1
櫃	궤, 거	궤, 느티나무	1
机	궤, 기, 예	책상, 틀, 모탕	1
几	궤, 기, 범	안석, 몇, 무릇	1
逵	규	길거리	1
葵	규, 규	해바라기, 아욱	1
窺	규	엿볼	1
硅	규, 괵	규소, 깨뜨릴	1
橘	귤	귤	1
隙	극	틈	1
棘	극	가시	1
戟	극	창	1
剋	극, 각	이길, 새길	1
饉	근	주릴	1
覲	근	뵐	1
襟	금	옷깃	1
衾	금	이불	1
擒	금	사로잡을	1
汲	급	길을	1
扱	급, 흡, 삽	미칠, 거둘, 꽂을	1
矜	긍, 근, 관	자랑할, 창자루, 앓을	1
亘	긍, 선	뻗칠, 베풀	1
譏	기	비웃을	1
肌	기	살가죽	1
羈	기, 기	굴레, 나그네	1
綺	기	비단	1
畸	기, 기	뙈기밭, 불구	1
杞	기, 기, 시	구기자, 나라 이름, 쟁기	1
朞	기	돌	1
崎	기	험할	1
妓	기	기생	1
嗜	기	즐길	1
伎	기	재간	1
拮	길, 갈	일할, 죄어칠	1
喫	끽	먹을	1
拿	나	잡을	1
懦	나, 유	나약할, 겁쟁이	1
儺	나	푸닥거리	1
煖	난, 훤	더울, 따뜻할	1
捺	날	누를	1
捏	날	꾸밀	1
衲	납	기울	1
囊	낭	주머니	1
撚	년(연)	비틀	1
駑	노	둔한 말	1
弩	노	쇠뇌	1
膿	농	고름	1
訥	눌	말 더듬거릴	1
紐	뉴(유)	맺을	1
匿	닉(익), 특	숨길, 사악할	1
蛋	단	새알	1
緞	단	비단	1
簞	단	소쿠리	1
疸	달	황달	1
撻	달	때릴	1
譚	담, 담	클, 말씀	1
痰	담	가래	1
澹	담, 섬	맑을, 넉넉할	1
曇	담	흐릴	1
憺	담	참담할	1
遝	답	뒤섞일	1
螳	당, 당	버마재비, 사마귀	1
棠	당	아가위	1
撞	당	칠	1
袋	대	자루	1
擡	대	들	1
鍍	도	도금할	1
蹈	도, 신	밟을, 슬퍼할	1
賭	도	내기	1
萄	도	포도	1
禱	도	빌	1
睹	도	볼	1
濤	도, 주	물결, 조수	1
滔	도	물 넘칠	1
淘	도	쌀 일	1
搗	도	찧을	1
掉	도	흔들	1
屠	도, 저	죽일, 흉노 왕의 칭호	1
堵	도, 자	담, 강 이름	1
禿	독	대머리	1
瀆	독, 독, 두	도랑, 더럽힐, 구멍	1
沌	돈, 전	엉길, 내 이름	1
胴	동, 동	큰창자, 몸통	1
瞳	동	눈동자	1
疼	동, 등	아플, 아플	1
憧	동, 동	동경할, 어리석을	1
痘	두	역질	1
兜	두, 도	투구, 도솔천	1
遁	둔, 준	숨을, 뒷걸음칠	1
臀	둔	볼기	1
橙	등, 등	귤, 걸상	1
邏	라(나)	순라	1
螺	라(나)	소라	1
癩	라(나), 랄(날)	문둥이, 약의 독기가 날	1
懶	라(나), 뢰(뇌)	게으를, 혐오할	1
烙	락(낙)	지질	1
駱	락(낙)	낙타	1
酪	락(낙)	쇠젖	1
鸞	란(난)	난새	1
瀾	란(난)	물결	1
辣	랄(날)	매울	1
剌	랄(날), 랄(날), 라(나)	발랄할, 어그러질, 수라	1
籃	람(남)	대바구니	1
蠟	랍(납)	밀	1
臘	랍(납), 랍(납)	섣달, 납향	1
狼	랑(낭)	이리	1
粱	량(양)	기장	1
倆	량(양), 량(양)	재주, 둘	1
黎	려(여)	검을	1
閭	려(여)	마을	1
濾	려(여)	거를	1
戾	려(여), 렬(열), 태	어그러질, 돌릴, 어그러질	1
侶	려(여)	짝	1
礫	력(역), 락(낙)	조약돌, 뛰어날	1
瀝	력(역)	스밀	1
輦	련(연)	가마	1
簾	렴(염)	발	1
殮	렴(염)	염할	1
斂	렴(염)	거둘	1
鈴	령(영)	방울	1
逞	령(영), 영	쾌할, 사람 이름	1
囹	령(영)	옥	1
齡	령(영)	나이	1
虜	로(노)	사로잡을	1
擄	로(노)	노략질할	1
撈	로(노)	건질	1
麓	록(녹)	산기슭	1
碌	록(녹), 락(낙)	푸른 돌, 자갈땅	1
聾	롱(농)	귀먹을	1
瓏	롱(농)	옥 소리	1
壟	롱(농)	밭두둑	1
賂	뢰(뇌)	뇌물	1
磊	뢰(뇌)	돌무더기	1
牢	뢰(뇌)	우리	1
儡	뢰(뇌)	꼭두각시	1
聊	료(요)	애오라지	1
瞭	료(요)	밝을	1
燎	료(요)	횃불	1
寮	료(요)	동관	1
陋	루(누)	더러울	1
壘	루(누), 뢰(뇌), 률(율)	보루, 끌밋할, 귀신 이름	1
瘤	류(유)	혹	1
琉	류(유)	유리	1
溜	류(유)	처마물	1
戮	륙(육)	죽일	1
綸	륜(윤), 관	벼리, 허리끈	1
淪	륜(윤), 론(논)	빠질, 물 돌아 흐를	1
慄	률(율)	떨릴	1
肋	륵(늑), 근	갈빗대, 힘줄	1
勒	륵(늑)	굴레	1
凜	름(늠)	찰	1
菱	릉(능)	마름	1
綾	릉(능)	비단	1
稜	릉(능)	모 날	1
凌	릉(능), 릉(능)	업신여길, 얼음	1
釐	리(이), 희, 래(내), 태, 뢰(뇌)	다스릴, 복, 보리, 땅 이름, 줄	1
裡	리(이)	속	1
罹	리(이)	걸릴	1
籬	리(이)	울타리	1
痢	리(이)	설사	1
悧	리(이)	영리할	1
俚	리(이)	속될	1
鱗	린(인)	비늘	1
躪	린(인)	짓밟을	1
燐	린(인)	도깨비불	1
吝	린(인)	아낄	1
淋	림(임), 림(임)	임질, 장마	1
粒	립(입)	낟알	1
笠	립(입)	삿갓	1
寞	막	고요할	1
鰻	만	뱀장어	1
饅	만	만두	1
輓	만, 만	끌, 애도할	1
蔓	만	덩굴	1
瞞	만, 문	속일, 부끄러워할	1
挽	만	당길	1
彎	만	굽을	1
卍	만	만자	1
襪	말	버선	1
沫	말	물거품	1
抹	말	지울	1
惘	망	멍할	1
芒	망, 황	까끄라기, 황홀할	1
呆	매, 태, 보	어리석을, 어리석을, 지킬	1
邁	매	갈	1
罵	매	꾸짖을	1
煤	매	그을음	1
昧	매	어두울	1
寐	매	잘	1
萌	맹, 명, 몽	움, 활량나물, 있을	1
麪	면	밀가루	1
緬	면, 면	멀, 가는 실	1
眄	면, 묜	곁눈질할, 곁눈질할	1
棉	면	목화	1
酩	명	술 취할	1
螟	명	멸구	1
皿	명	그릇	1
溟	명, 멱	바다, 가랑비 오는 모양	1
暝	명	저물	1
袂	몌	소매	1
糢	모, 모	본뜰, 모호할	1
耗	모, 모	소모할, 소식	1
牡	모	수컷	1
摸	모, 막	본뜰, 더듬을	1
歿	몰, 문	죽을, 자를	1
猫	묘	고양이	1
渺	묘	아득할	1
杳	묘, 요	아득할, 아득할	1
描	묘	그릴	1
誣	무	속일	1
蕪	무	거칠	1
畝	무, 묘	이랑, 이랑	1
毋	무, 모	말, 관직 이름	1
撫	무	어루만질	1
拇	무	엄지손가락	1
憮	무, 후, 호	어루만질, 아리따울, 클	1
巫	무	무당	1
蚊	문	모기	1
靡	미, 마	쓰러질, 갈	1
薇	미	장미	1
媚	미, 미	아첨할, 예쁠	1
悶	민	답답할	1
謐	밀	고요할	1
樸	박, 복	순박할, 나무 빽빽할	1
撲	박, 복	칠, 칠	1
搏	박, 박	두드릴, 어깨	1
剝	박	벗길	1
駁	박, 박	논박할, 얼룩말	1
膊	박	팔뚝	1
縛	박	얽을	1
粕	박	지게미	1
箔	박	발	1
珀	박, 백	호박, 호박	1
蟠	반	서릴	1
絆	반	얽어맬	1
礬	반, 번	명반, 명반	1
畔	반, 반	밭두둑, 배반할	1
槃	반	쟁반	1
斑	반	아롱질	1
攀	반	더위잡을	1
拌	반, 반	버릴, 쪼갤	1
頒	반, 분	나눌, 머리 클	1
魃	발	가뭄	1
醱	발	술 괼	1
跋	발	밟을	1
潑	발	물 뿌릴	1
撥	발	다스릴	1
勃	발	노할	1
謗	방	헐뜯을	1
膀	방	오줌통	1
肪	방	살찔	1
榜	방, 병	방 붙일, 도지개	1
枋	방, 병	다목, 자루	1
昉	방, 방	밝을, 찾을	1
彷	방, 방	헤맬, 비슷할	1
幇	방	도울	1
尨	방, 봉	삽살개, 어지러울	1
坊	방	동네	1
陪	배	모실	1
胚	배	아기 밸	1
湃	배	물결칠	1
徘	배	어정거릴	1
魄	백, 박, 탁	넋, 재강, 영락할	1
帛	백	비단	1
藩	번	울타리	1
蕃	번, 피	우거질, 고을 이름	1
泛	범, 핍, 봉	뜰, 물소리, 엎을	1
氾	범, 범	넘칠, 땅 이름	1
梵	범	불경	1
帆	범	돛	1
闢	벽	열	1
癖	벽	버릇	1
璧	벽	구슬	1
擘	벽	엄지손가락	1
劈	벽	쪼갤	1
鼈	별	자라	1
瞥	별, 폐	깜짝할, 침침할	1
餠	병	떡	1
甁	병	병	1
菩	보, 배	보살, 향초 이름	1
洑	보, 복	보, 스며흐를	1
堡	보	작은 성	1
鰒	복	전복	1
輻	복, 폭, 부	바퀴살, 바퀴살, 몰려들	1
匐	복	길	1
僕	복	종	1
鋒	봉	칼날	1
烽	봉	봉화	1
棒	봉	막대	1
捧	봉	받들	1
賻	부	부의	1
訃	부	부고	1
芙	부	연꽃	1
腑	부	육부	1
斧	부	도끼	1
孵	부	알 깔	1
埠	부	부두	1
咐	부, 부	분부할, 불	1
剖	부	쪼갤	1
俯	부	구부릴	1
駙	부	곁마	1
雰	분	눈 날릴	1
糞	분	똥	1
盆	분	동이	1
焚	분	불사를	1
扮	분	꾸밀	1
忿	분	성낼	1
噴	분	뿜을	1
吩	분, 분	분부할, 뿜을	1
彿	불	비슷할	1
繃	붕	묶을	1
硼	붕, 평	붕사, 돌 소리	1
棚	붕	사다리	1
妣	비	죽은 어머니	1
鄙	비, 비	더러울, 마을	1
譬	비	비유할	1
誹	비	헐뜯을	1
裨	비	도울	1
蜚	비, 비	바퀴, 날	1
臂	비	팔	1
脾	비	지라	1
翡	비	물총새	1
緋	비	비단	1
秕	비, 비	쭉정이, 더럽힐	1
砒	비	비상	1
痺	비, 비, 비	저릴, 왜소할, 암메추라기	1
琵	비	비파	1
沸	비, 불, 배	끓을, 용솟음할, 어지럽게 날	1
扉	비	사립문	1
憊	비	고단할	1
庇	비, 자	덮을, 허물	1
匕	비	비수	1
瀕	빈, 빈	물가, 가까울	1
濱	빈	물가	1
殯	빈	빈소	1
嬪	빈	궁녀 벼슬 이름	1
嚬	빈	찡그릴	1
憑	빙	기댈	1
麝	사	사향노루	1
蓑	사, 쇠	도롱이, 꽃술 늘어질	1
紗	사, 묘	비단, 작을	1
祠	사	사당	1
獅	사	사자	1
瀉	사	쏟을	1
徙	사, 사	옮길, 고을 이름	1
娑	사, 사	춤출, 사바 세상	1
奢	사	사치할	1
嗣	사	이을	1
些	사	적을	1
疝	산	산증	1
珊	산	산호	1
刪	산	깎을	1
薩	살	보살	1
煞	살, 쇄, 쇄	죽일, 매우, 빠를	1
撒	살	뿌릴	1
滲	삼, 림	스며들, 흐를	1
澁	삽	떫을	1
觴	상	잔	1
翔	상	날	1
爽	상	시원할	1
孀	상	홀어머니	1
璽	새	옥새	1
嗇	색	아낄	1
甥	생	생질	1
牲	생	희생	1
鼠	서	쥐	1
黍	서	기장	1
薯	서	감자	1
胥	서	서로	1
犀	서	무소	1
棲	서	깃들일	1
曙	서	새벽	1
抒	서	풀	1
嶼	서	섬	1
壻	서	사위	1
潟	석	개펄	1
銑	선	무쇠	1
膳	선, 선	선물, 반찬	1
腺	선	샘	1
羨	선, 연	부러워할, 무덤길	1
煽	선	부채질할	1
扇	선	부채	1
渫	설, 접, 잡	파낼, 물결 일렁이는 모양, 데칠	1
洩	설, 예	샐, 퍼질	1
泄	설, 예	샐, 흩어질	1
屑	설, 설	가루, 달갑게 여길	1
閃	섬	번쩍일	1
殲	섬	다 죽일	1
醒	성	깰	1
遡	소	거스를	1
逍	소	노닐	1
蕭	소, 소	쓸쓸할, 맑은대쑥	1
簫	소	퉁소	1
瘙	소	피부병	1
疎	소	성길	1
甦	소, 소	깨어날, 긁어모을	1
梳	소	얼레빗	1
搔	소, 조	긁을, 손톱	1
宵	소, 초	밤, 닮을	1
塑	소	흙 빚을	1
贖	속	속죄할	1
遜	손	겸손할	1
悚	송	두려울	1
碎	쇄	부술	1
灑	쇄, 시, 리(이)	뿌릴, 나눌, 끊어지지 않는 모양	1
讎	수	원수	1
髓	수	뼛골	1
酬	수, 주	갚을, 갚을	1
袖	수	소매	1
蒐	수	모을	1
羞	수	부끄러울	1
繡	수	수놓을	1
粹	수, 쇄	순수할, 부술	1
竪	수	세울	1
穗	수	이삭	1
瘦	수	여윌	1
狩	수	사냥할	1
戍	수	수자리	1
嫂	수	형수	1
菽	숙	콩	1
夙	숙	이를	1
塾	숙	글방	1
馴	순, 훈	길들일, 가르칠	1
醇	순	전국술	1
筍	순	죽순	1
膝	슬	무릎	1
丞	승, 승, 증	정승, 도울, 나아갈	1
柿	시, 폐	감나무, 대패밥	1
豺	시	승냥이	1
諡	시	시호	1
猜	시, 채	시기할, 시기할	1
弑	시	윗사람 죽일	1
媤	시, 사	시집, 여자의 자	1
匙	시	숟가락	1
蝕	식	좀먹을	1
熄	식	불 꺼질	1
拭	식	씻을	1
迅	신	빠를	1
訊	신	물을	1
蜃	신	큰 조개	1
薪	신	섶	1
燼	신	불탄 끝	1
宸	신	대궐	1
娠	신	아이 밸	1
呻	신	읊조릴	1
悉	실	다	1
什	십, 집	열 사람, 세간	1
訝	아	의심할	1
衙	아, 어	마을, 갈	1
啞	아, 액	벙어리, 웃을	1
俄	아	아까	1
顎	악, 악	턱, 엄할	1
愕	악	놀랄	1
堊	악, 성	흰흙, 성인	1
鞍	안	안장	1
晏	안	늦을	1
按	안, 알	누를, 막을	1
軋	알	삐걱거릴	1
斡	알, 간	돌, 주장할	1
闇	암, 음	숨을, 큰물 질	1
庵	암, 엄	암자, 갑자기	1
昂	앙	밝을	1
鴦	앙	원앙	1
秧	앙	모	1
怏	앙	원망할	1
靄	애	아지랑이	1
隘	애, 액	좁을, 막을	1
曖	애	희미할	1
崖	애	언덕	1
腋	액	겨드랑이	1
縊	액	목맬	1
扼	액	잡을	1
鶯	앵	꾀꼬리	1
櫻	앵	앵두	1
爺	야, 야	아버지, 아비	1
揶	야	야유할	1
冶	야	풀무	1
葯	약, 적	꽃밥, 동여맬	1
癢	양	가려울	1
釀	양	술 빚을	1
瘍	양, 탕	헐, 설사병	1
攘	양, 녕(영)	물리칠, 어지러울	1
恙	양, 양	병, 근심할	1
禦	어	막을	1
瘀	어	어혈질	1
圄	어	옥	1
臆	억, 의	가슴, 마실 것	1
諺	언, 언, 안	언문, 속담, 자랑할	1
堰	언	둑	1
掩	엄	가릴	1
奄	엄	문득	1
儼	엄	엄연할	1
繹	역	풀	1
鳶	연	솔개	1
筵	연	대자리	1
椽	연	서까래	1
捐	연	버릴	1
涅	열(녈), 날	개흙, 개흙	1
艶	염	고울	1
焰	염	불꽃	1
嬰	영	어린아이	1
詣	예	이를	1
裔	예	후손	1
穢	예	더러울	1
曳	예	끌	1
懊	오, 욱	한할, 슬플	1
寤	오	잠 깰	1
奧	오, 욱	깊을, 따뜻할	1
伍	오	다섯 사람	1
蘊	온	쌓을	1
壅	옹	막을	1
訛	와	그릇될	1
蝸	와	달팽이	1
渦	와, 과	소용돌이, 강 이름	1
頑	완	완고할	1
阮	완, 원	성씨, 나라 이름	1
腕	완	팔뚝	1
玩	완	희롱할	1
宛	완, 원, 온, 울	완연할, 고을 이름, 쌓일, 맺힐	1
婉	완, 완	순할, 아름다울	1
枉	왕, 광	굽을, 미칠	1
矮	왜	난쟁이	1
猥	외	외람할	1
巍	외	높고 클	1
饒	요	넉넉할	1
邀	요	맞을	1
窯	요	기와 가마	1
窈	요	고요할	1
擾	요, 우	시끄러울, 움직일	1
撓	요(뇨), 효, 호	어지러울, 돌, 부드럽게 할	1
拗	요, 욱	우길, 누를	1
寥	요(료)	쓸쓸할	1
夭	요, 요, 오, 옥, 외	일찍 죽을, 어릴, 어린아이, 땅 이름, 예쁠	1
凹	요	오목할	1
僥	요, 교	요행, 속일	1
踊	용	뛸	1
蓉	용	연꽃	1
茸	용, 이	풀 날, 버섯	1
聳	용, 송	솟을, 두려워할	1
涌	용	물 솟을	1
嵎	우	산굽이	1
隅	우	모퉁이	1
迂	우, 오	에돌, 굽을	1
虞	우, 우	염려할, 나라 이름	1
寓	우	부칠	1
隕	운, 원	떨어질, 둘레	1
耘	운	김맬	1
殞	운	죽을	1
冤	원	원통할	1
鴛	원	원앙	1
猿	원	원숭이	1
萎	위	시들	1
鍮	유	놋쇠	1
蹂	유	밟을	1
諭	유	타이를	1
諛	유	아첨할	1
癒	유	병 나을	1
游	유, 류(유)	헤엄칠, 깃발	1
柚	유, 축	유자, 바디	1
揄	유, 요	야유할, 요적옷	1
愉	유, 투	즐거울, 구차할	1
宥	유	너그러울	1
喩	유	깨우칠	1
絨	융	가는 베	1
戎	융, 융	병장기, 오랑캐	1
蔭	음	그늘	1
揖	읍, 집, 즙	읍할, 모을, 모을	1
膺	응	가슴	1
誼	의, 의	정, 옳을	1
毅	의	굳셀	1
椅	의	의자	1
擬	의	비길	1
弛	이, 시, 치	늦출, 베풀, 떨어질	1
姨	이	이모	1
餌	이	미끼	1
痍	이	상처	1
爾	이	너	1
翌	익	다음날	1
靭	인	질길	1
蚓	인	지렁이	1
湮	인, 연	묻힐, 막힐	1
咽	인, 열, 연	목구멍, 목멜, 삼킬	1
溢	일	넘칠	1
佚	일, 질	편안할, 방탕할	1
孕	잉	아이 밸	1
剩	잉	남을	1
藉	자, 적, 차, 차	깔, 짓밟을, 빌, 빌릴	1
蔗	자	사탕수수	1
疵	자, 제, 새	허물, 노려볼, 앓을	1
瓷	자	사기그릇	1
煮	자	삶을	1
炙	자, 적	구울, 구울	1
仔	자	자세할	1
鵲	작	까치	1
雀	작	참새	1
芍	작, 적	함박꽃, 연밥	1
綽	작	너그러울	1
炸	작, 찰	터질, 튀길	1
灼	작	불사를	1
嚼	작	씹을	1
勺	작	구기	1
盞	잔	잔	1
棧	잔, 진	사다리, 성할	1
簪	잠, 잠	비녀, 빠를	1
箴	잠	경계	1
醬	장	장	1
薔	장, 색	장미, 여뀌	1
漿	장	즙	1
檣	장	돛대	1
杖	장	지팡이	1
匠	장	장인	1
仗	장	의장	1
齋	재, 재, 자	재계할, 집, 상복	1
滓	재, 자, 치	찌꺼기, 찌꺼기, 더럽힐	1
錚	쟁	쇳소리	1
豬	저, 차	돼지, 암퇘지	1
觝	저, 지	닿을, 칠	1
邸	저	집	1
躇	저	머뭇거릴	1
詛	저	저주할	1
箸	저, 착	젓가락, 붙을	1
狙	저, 저	원숭이, 엿볼	1
咀	저	씹을	1
迹	적	자취	1
謫	적	귀양 갈	1
狄	적	오랑캐	1
嫡	적	정실	1
餞	전	보낼	1
顫	전	떨	1
顚	전, 전	엎드러질, 이마	1
銓	전	사람 가릴	1
輾	전, 년(연)	돌아누울, 삐걱거릴	1
纏	전	얽을	1
篆	전	전자	1
箭	전	화살	1
箋	전	기록할	1
癲	전	미칠	1
煎	전	달일	1
澱	전	앙금	1
氈	전	모전	1
栓	전	마개	1
悛	전, 순	고칠, 공손한 모양	1
廛	전	가게	1
奠	전, 전, 정	정할, 제사, 멈출	1
塡	전, 진	메울, 진정할	1
剪	전	자를	1
截	절	끊을	1
霑	점	젖을	1
粘	점	붙을	1
碇	정	닻	1
睛	정	눈동자	1
町	정, 전	밭두둑, 빈 터	1
挺	정	빼어날	1
幀	정, 탱	그림 족자, 그림 족자	1
靖	정	편안할	1
錠	정	덩이	1
釘	정	못	1
酊	정	술 취할	1
穽	정	함정	1
梯	제	사다리	1
悌	제	공손할	1
啼	제	울	1
蹄	제	굽	1
阻	조	막힐	1
遭	조	만날	1
躁	조	조급할	1
詔	조, 소	조서, 소개할	1
藻	조	마름	1
肇	조	비롯할	1
繰	조, 소	야청 통견, 고치 켤	1
糟	조	지게미	1
粗	조	거칠	1
稠	조, 주	빽빽할, 많을	1
眺	조	바라볼	1
爪	조	손톱	1
漕	조	배로 실어 나를	1
槽	조	구유	1
棗	조	대추	1
曹	조, 조	무리, 성씨	1
嘲	조	비웃을	1
凋	조	시들	1
簇	족, 족, 착	가는 대, 모일, 화살촉	1
猝	졸	갑자기	1
踵	종	발꿈치	1
踪	종	자취	1
腫	종	종기	1
慫	종	권할	1
挫	좌	꺾을	1
輳	주	몰려들	1
躊	주	머뭇거릴	1
誅	주	벨	1
註	주	글 뜻 풀	1
紬	주	명주	1
紂	주, 주	껑거리끈, 주임금	1
廚	주	부엌	1
嗾	주, 수	부추길, 부추길	1
呪	주	빌	1
胄	주, 주	자손, 투구	1
做	주	지을	1
蠢	준	꾸물거릴	1
竣	준, 전	마칠, 마칠	1
樽	준	술통	1
櫛	즐	빗	1
葺	즙, 집	기울, 기울	1
汁	즙, 협, 십, 집	즙, 맞을, 고을 이름, 그릇	1
肢	지	팔다리	1
祉	지	복	1
枳	지, 기	탱자, 탱자	1
摯	지	잡을	1
咫	지	여덟치	1
疹	진	마마	1
嗔	진, 전	성낼, 성한 모양	1
迭	질, 일	번갈아들, 범할	1
跌	질	거꾸러질	1
膣	질	음도	1
桎	질	차꼬	1
帙	질	책권 차례	1
嫉	질	미워할	1
叱	질	꾸짖을	1
朕	짐	나	1
斟	짐, 침	짐작할, 짐작할	1
澄	징, 등	맑을, 나뉠	1
蹉	차	미끄러질	1
嗟	차	탄식할	1
叉	차, 차	갈래, 작살	1
